原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
,创新,3,创造,创造,发展
,创业,3,创新,创新,企业
,问题,2,机制,机制,社会
,机制,2,解放思想,解放思想,坚持
,鼓励,1,深化改革,深化改革,问题
,高技术,1,高技术,高技术,全面
,通过,1,有利条件,有利条件,创造
,解放思想,1,问题,问题,机制
,解决,1,导向,导向,环境
,营造,1,氛围,氛围,提供
,突出,1,营造,营造,开放
,社会,1,着力,着力,鼓励
,着力,1,年轻人,年轻人,建立
,环境,1,体制,体制,解决
,特别,1,,,
,深化改革,1,,,
,氛围,1,,,
,有利条件,1,,,
,更好,1,,,
,提供,1,,,
,成长,1,,,
,影响,1,,,
,开放,1,,,
,建立,1,,,
,年轻人,1,,,
,导向,1,,,
,坚持,1,,,
,发展,1,,,
,加速,1,,,
,全面,1,,,
,体制,1,,,
,企业,1,,,
,中小企业,1,,,
,,,,,
当前随着新一轮科技革命和产业变革孕育兴起，新能源汽车产业正进入加速发展的新阶段，不仅为各国经济增长注入强劲新动能，也有助于减少温室气体排放，应对气候变化挑战，改善全球生态环境。,革命,1,汽车产业,汽车产业,科技
,随着,1,孕育,孕育,发展
,阶段,1,生态环境,生态环境,经济
,进入,1,温室,温室,产业
,经济,1,动能,动能,全球
,科技,1,变革,变革,变革
,生态环境,1,新一轮,新一轮,革命
,温室,1,气候变化,气候变化,各国
,注入,1,兴起,兴起,新一轮
,汽车产业,1,有助于,有助于,当前
,气候变化,1,排放,排放,增长
,气体,1,挑战,挑战,动能
,有助于,1,气体,气体,挑战
,新能源,1,注入,注入,进入
,新一轮,1,新能源,新能源,加速
,改善,1,,,
,排放,1,,,
,挑战,1,,,
,当前,1,,,
,强劲,1,,,
,应对,1,,,
,孕育,1,,,
,增长,1,,,
,各国,1,,,
,变革,1,,,
,发展,1,,,
,动能,1,,,
,加速,1,,,
,减少,1,,,
,兴起,1,,,
,全球,1,,,
,产业,1,,,
,不仅,1,,,
,,,,,
中国坚持走绿色、低碳、可持续发展道路，愿同国际社会一道，加速推进新能源汽车科技创新和相关产业发展，为建设清洁美丽世界、推动构建人类命运共同体作出更大贡献。希望各位嘉宾深入交流、凝聚共识，深化新能源汽车产业交流合作，让创新科技发展成果更好造福世界各国人民。,发展,3,交流,交流,创新
,科技,2,新能源,新能源,科技
,新能源,2,低碳,低碳,发展
,创新,2,愿同,愿同,建设
,交流,2,科技,科技,推动
,世界,2,创新,创新,产业
,道路,1,发展,发展,合作
,造福,1,造福,造福,中国
,贡献,1,汽车产业,汽车产业,世界
,美丽,1,世界,世界,国际
,绿色,1,嘉宾,嘉宾,社会
,社会,1,共同体,共同体,推进
,相关,1,凝聚,凝聚,坚持
,清洁,1,各位,各位,人类
,深化,1,构建,构建,人民
,深入,1,,,
,汽车产业,1,,,
,汽车,1,,,
,构建,1,,,
,更好,1,,,
,更大,1,,,
,推进,1,,,
,推动,1,,,
,持续,1,,,
,成果,1,,,
,愿同,1,,,
,建设,1,,,
,希望,1,,,
,坚持,1,,,
,国际,1,,,
,嘉宾,1,,,
,命运,1,,,
,合作,1,,,
,各国,1,,,
,各位,1,,,
,加速,1,,,
,凝聚,1,,,
,共识,1,,,
,共同体,1,,,
,作出,1,,,
,低碳,1,,,
,人类,1,,,
,人民,1,,,
,产业,1,,,
,中国,1,,,
,一道,1,,,
,,,,,
当前，以互联网、大数据、人工智能等为代表的现代信息技术日新月异，新一轮科技革命和产业变革蓬勃推进，智能产业快速发展，对经济发展、社会进步、全球治理等方面产生重大而深远影响。,发展,2,产业,产业,科技
,产业,2,日新月异,日新月异,发展
,革命,1,蓬勃,蓬勃,经济
,重大,1,人工智能,人工智能,产业
,进步,1,深远影响,深远影响,社会
,蓬勃,1,信息技术,信息技术,推进
,经济,1,变革,变革,重大
,科技,1,新一轮,新一轮,全球
,社会,1,智能,智能,人工智能
,现代,1,发展,发展,变革
,深远影响,1,互联网,互联网,方面
,治理,1,治理,治理,革命
,智能,1,进步,进步,现代
,日新月异,1,科技,科技,新一轮
,方面,1,快速,快速,数据
,新一轮,1,,,
,数据,1,,,
,推进,1,,,
,快速,1,,,
,当前,1,,,
,变革,1,,,
,全球,1,,,
,信息技术,1,,,
,代表,1,,,
,人工智能,1,,,
,产生,1,,,
,互联网,1,,,
,,,,,
中国高度重视智能产业发展，加快数字产业化、产业数字化，推动数字经济和实体经济深度融合。中国愿同国际社会一道，共创智能时代，共享智能成果。,智能,3,智能,智能,发展
,经济,2,数字,数字,经济
,数字,2,愿同,愿同,推动
,产业,2,产业,产业,加快
,中国,2,共创,共创,产业
,高度重视,1,数字化,数字化,中国
,融合,1,共享,共享,国际
,社会,1,产业化,产业化,数字
,深度,1,高度重视,高度重视,社会
,时代,1,融合,融合,融合
,数字化,1,经济,经济,成果
,推动,1,深度,深度,深度
,成果,1,实体,实体,时代
,愿同,1,成果,成果,高度重视
,实体,1,一道,一道,智能
,国际,1,,,
,发展,1,,,
,加快,1,,,
,共创,1,,,
,共享,1,,,
,产业化,1,,,
,一道,1,,,
,,,,,
要坚持网络安全教育、技术、产业融合发展，形成人才培养、技术创新、产业发展的良性生态。要坚持促进发展和依法管理相统一，既大力培育人工智能、物联网、下一代通信网络等新技术新应用，又积极利用法律法规和标准规范引导新技术应用。要坚持安全可控和开放创新并重，立足于开放环境维护网络安全，加强国际交流合作，提升广大人民群众在网络空间的获得感、幸福感、安全感。,技术,3,网络安全,网络安全,创新
,坚持,3,坚持,坚持,发展
,发展,3,技术,技术,技术
,网络安全,2,开放,开放,加强
,开放,2,网络空间,网络空间,产业
,应用,2,标准规范,标准规范,合作
,产业,2,应用,应用,坚持
,通信,1,产业,产业,提升
,融合,1,发展,发展,促进
,获得,1,幸福感,幸福感,人工智能
,良性,1,国际交流,国际交流,融合
,联网,1,人才培养,人才培养,人民
,群众,1,安全感,安全感,形成
,网络空间,1,人工智能,人工智能,应用
,网络,1,立足于,立足于,广大
,维护,1,,,
,统一,1,,,
,管理,1,,,
,立足于,1,,,
,积极,1,,,
,生态,1,,,
,环境,1,,,
,法律法规,1,,,
,标准规范,1,,,
,教育,1,,,
,提升,1,,,
,技术创新,1,,,
,形成,1,,,
,引导,1,,,
,广大,1,,,
,幸福感,1,,,
,并重,1,,,
,安全感,1,,,
,安全,1,,,
,大力,1,,,
,培育,1,,,
,国际交流,1,,,
,合作,1,,,
,可控,1,,,
,加强,1,,,
,利用,1,,,
,创新,1,,,
,促进,1,,,
,依法,1,,,
,人民,1,,,
,人才培养,1,,,
,人工智能,1,,,
,下一代,1,,,
,,,,,
黄河水资源量就这么多，搞生态建设要用水，发展经济、吃饭过日子也离不开水，不能把水当作无限供给的资源。“有多少汤泡多少馍”。要坚持以水定城、以水定地、以水定人、以水定产，把水资源作为最大的刚性约束，合理规划人口、城市和产业发展，坚决抑制不合理用水需求，大力发展节水产业和技术，大力推进农业节水，实施全社会节水行动，推动用水方式由粗放向节约集约转变。,用水,3,以水定,以水定,发展
,以水定,3,用水,用水,技术
,节水,2,节水,节水,经济
,多少,2,定产,定产,推动
,发展,2,水资源量,水资源量,产业
,黄河,1,汤泡,汤泡,社会
,需求,1,以水,以水,推进
,集约,1,生态建设,生态建设,农业
,这么,1,多少,多少,坚持
,过日子,1,水产业,水产业,资源
,转变,1,集约,集约,实施
,资源,1,粗放,粗放,需求
,规划,1,水资源,水资源,作为
,行动,1,过日子,过日子,转变
,节约,1,刚性,刚性,方式
,经济,1,,,
,约束,1,,,
,粗放,1,,,
,离不开,1,,,
,社会,1,,,
,生态建设,1,,,
,汤泡,1,,,
,水资源量,1,,,
,水资源,1,,,
,水产业,1,,,
,最大,1,,,
,无限,1,,,
,方式,1,,,
,推进,1,,,
,推动,1,,,
,抑制,1,,,
,技术,1,,,
,当作,1,,,
,实施,1,,,
,定产,1,,,
,大力发展,1,,,
,大力,1,,,
,城市,1,,,
,坚持,1,,,
,坚决,1,,,
,合理,1,,,
,吃饭,1,,,
,刚性,1,,,
,农业,1,,,
,供给,1,,,
,作为,1,,,
,以水,1,,,
,人口,1,,,
,产业,1,,,
,不能,1,,,
,不合理,1,,,
,,,,,
城市轨道交通是现代大城市交通的发展方向。发展轨道交通是解决大城市病的有效途径，也是建设绿色城市、智能城市的有效途径。北京要继续大力发展轨道交通，构建综合、绿色、安全、智能的立体化现代化城市交通系统，始终保持国际最先进水平，打造现代化国际大都市。,城市,4,轨道交通,轨道交通,发展
,轨道交通,3,城市,城市,建设
,绿色,2,有效途径,有效途径,国际
,现代化,2,大城市,大城市,水平
,有效途径,2,智能,智能,安全
,智能,2,绿色,绿色,现代化
,大城市,2,现代化,现代化,构建
,国际,2,立体化,立体化,现代
,发展,2,交通系统,交通系统,先进
,解决,1,大都市,大都市,打造
,综合,1,国际,国际,解决
,继续,1,始终保持,始终保持,绿色
,立体化,1,大力发展,大力发展,继续
,现代,1,构建,构建,方向
,水平,1,打造,打造,智能
,构建,1,,,
,方向,1,,,
,打造,1,,,
,建设,1,,,
,安全,1,,,
,始终保持,1,,,
,大都市,1,,,
,大力发展,1,,,
,北京,1,,,
,先进,1,,,
,交通系统,1,,,
,交通,1,,,
,,,,,
建设内外部联通的综合交通体系，是提高机场运行效率的关键。要树立先进管理理念，运用现代信息技术，提高管理运营智能化、便利化水平。,管理,2,便利化,便利化,建设
,提高,2,内外部,内外部,体系
,运行,1,提高,提高,关键
,运营,1,管理,管理,提高
,运用,1,联通,联通,水平
,联通,1,智能化,智能化,现代
,综合,1,信息技术,信息技术,先进
,理念,1,树立,树立,管理
,现代,1,理念,理念,信息技术
,水平,1,机场,机场,运用
,树立,1,运营,运营,理念
,机场,1,效率,效率,智能化
,智能化,1,先进,先进,综合
,效率,1,运用,运用,效率
,建设,1,关键,关键,树立
,内外部,1,,,
,关键,1,,,
,先进,1,,,
,信息技术,1,,,
,便利化,1,,,
,体系,1,,,
,交通,1,,,
,,,,,
既要高质量建设大兴国际机场，更要高水平运营大兴国际机场。要把大兴国际机场打造成为国际一流的平安机场、绿色机场、智慧机场、人文机场，打造世界级航空枢纽，向世界展示中国人民的智慧和力量，展示中国开放包容和平合作的博大胸怀。,机场,7,机场,机场,建设
,国际,4,大兴,大兴,合作
,大兴,3,国际,国际,中国
,智慧,2,智慧,智慧,世界
,打造,2,展示,展示,国际
,展示,2,打造,打造,人民
,中国,2,博大胸怀,博大胸怀,成为
,高质量,1,包容,包容,力量
,高水平,1,世界级,世界级,开放
,运营,1,高质量,高质量,打造
,航空,1,更要,更要,绿色
,绿色,1,人文,人文,高质量
,枢纽,1,高水平,高水平,智慧
,更要,1,一流,一流,高水平
,成为,1,枢纽,枢纽,一流
,开放,1,,,
,建设,1,,,
,平安,1,,,
,和平,1,,,
,合作,1,,,
,博大胸怀,1,,,
,包容,1,,,
,力量,1,,,
,人民,1,,,
,人文,1,,,
,世界级,1,,,
,世界,1,,,
,一流,1,,,
,,,,,
当前，新一轮科技革命和产业变革不断推进，科技同经济、社会、文化、生态深入协同发展，对人类文明演进和全球治理体系发展产生深刻影响。以科技创新推动可持续发展成为破解各国关心的一些重要全球性问题的必由之路。,科技,3,科技,科技,创新
,发展,3,发展,发展,科技
,革命,1,必由之路,必由之路,发展
,问题,1,深刻影响,深刻影响,经济
,重要,1,人类文明,人类文明,推动
,经济,1,演进,演进,产业
,社会,1,破解,破解,重要
,破解,1,全球性,全球性,体系
,生态,1,协同,协同,社会
,演进,1,生态,生态,推进
,深刻影响,1,变革,变革,全球
,深入,1,新一轮,新一轮,问题
,治理,1,治理,治理,不断
,新一轮,1,关心,关心,变革
,文化,1,深入,深入,成为
,推进,1,,,
,推动,1,,,
,持续,1,,,
,成为,1,,,
,必由之路,1,,,
,当前,1,,,
,各国,1,,,
,变革,1,,,
,协同,1,,,
,创新,1,,,
,关心,1,,,
,全球性,1,,,
,全球,1,,,
,体系,1,,,
,人类文明,1,,,
,产生,1,,,
,产业,1,,,
,不断,1,,,
,一些,1,,,
,,,,,
中国一贯秉持开放合作，坚持把联合国可持续发展议程同本国发展战略和国情有机结合，努力实现更高质量、更有效率、更加公平、更可持续的发展。希望论坛促进各国科学家、教育家、企业家携手合作，凝聚共识，交流思想，深化合作，为推动构建人类命运共同体贡献智慧和力量。,合作,3,合作,合作,发展
,发展,3,交流思想,交流思想,推动
,持续,2,发展,发展,合作
,高质量,1,秉持,秉持,中国
,贡献,1,持续,持续,战略
,论坛,1,议程,议程,坚持
,议程,1,有效率,有效率,人类
,联合国,1,努力实现,努力实现,促进
,结合,1,高质量,高质量,科学家
,科学家,1,国情,国情,各国
,秉持,1,教育家,教育家,更加
,深化,1,共同体,共同体,构建
,构建,1,携手,携手,希望
,本国,1,凝聚,凝聚,力量
,有机,1,一贯,一贯,开放
,有效率,1,,,
,更加,1,,,
,智慧,1,,,
,教育家,1,,,
,携手,1,,,
,推动,1,,,
,战略,1,,,
,开放,1,,,
,希望,1,,,
,坚持,1,,,
,国情,1,,,
,命运,1,,,
,各国,1,,,
,努力实现,1,,,
,力量,1,,,
,凝聚,1,,,
,共识,1,,,
,共同体,1,,,
,公平,1,,,
,促进,1,,,
,企业家,1,,,
,人类,1,,,
,交流思想,1,,,
,中国,1,,,
,一贯,1,,,
,,,,,
当前，全球新一轮科技革命和产业革命加速发展，工业互联网技术不断突破，为各国经济创新发展注入了新动能，也为促进全球产业融合发展提供了新机遇。中国高度重视工业互联网创新发展，愿同国际社会一道，持续提升工业互联网创新能力，推动工业化与信息化在更广范围、更深程度、更高水平上实现融合发展。,发展,5,互联网,互联网,创新
,工业,3,发展,发展,科技
,互联网,3,工业,工业,发展
,融合,2,融合,融合,技术
,创新,2,愿同,愿同,经济
,全球,2,创新,创新,推动
,高水平,1,新机遇,新机遇,产业
,高度重视,1,全球,全球,中国
,革命,1,产业革命,产业革命,国际
,范围,1,创新能力,创新能力,实现
,经济,1,更深,更深,社会
,突破,1,高水平,高水平,全球
,程度,1,高度重视,高度重视,突破
,科技,1,工业化,工业化,提升
,社会,1,信息化,信息化,促进
,注入,1,,,
,更深,1,,,
,新机遇,1,,,
,新一轮,1,,,
,提升,1,,,
,提供,1,,,
,推动,1,,,
,持续,1,,,
,技术,1,,,
,愿同,1,,,
,当前,1,,,
,工业化,1,,,
,实现,1,,,
,国际,1,,,
,各国,1,,,
,动能,1,,,
,加速,1,,,
,创新能力,1,,,
,信息化,1,,,
,促进,1,,,
,产业革命,1,,,
,产业,1,,,
,中国,1,,,
,不断,1,,,
,一道,1,,,
,,,,,
当前，绿色低碳循环发展成为人类共同目标，人工智能、大数据、5G等新技术与新能源发电、电动汽车等深度融合发展，迫切需要制定和应用相关领域国际标准，加强标准领域国际合作。,领域,2,5G,5G,发展
,发展,2,碳循环,碳循环,技术
,迫切需要,1,领域,领域,加强
,融合,1,人工智能,人工智能,合作
,绿色,1,国际标准,国际标准,领域
,碳循环,1,迫切需要,迫切需要,国际
,相关,1,电动汽车,电动汽车,人类
,目标,1,融合,融合,人工智能
,电动汽车,1,发展,发展,融合
,深度,1,发电,发电,应用
,标准,1,深度,深度,成为
,新能源,1,绿色,绿色,深度
,数据,1,新能源,新能源,共同
,技术,1,制定,制定,数据
,成为,1,应用,应用,绿色
,当前,1,,,
,应用,1,,,
,国际标准,1,,,
,国际,1,,,
,合作,1,,,
,发电,1,,,
,加强,1,,,
,制定,1,,,
,共同,1,,,
,人类,1,,,
,人工智能,1,,,
,5G,1,,,
,,,,,
中国高度重视标准化工作，积极推广应用国际标准，以高标准助力高技术创新，促进高水平开放，引领高质量发展。中国将继续积极支持和参与国际标准化活动，愿同各国一道，不断完善国际标准体系和治理结构，更好发挥标准在国际贸易和全球治理中的作用。,治理,2,国际标准,国际标准,发展
,标准化,2,标准化,标准化,中国
,国际标准,2,治理,治理,国际
,中国,2,愿同,愿同,体系
,高质量,1,高标准,高标准,全球
,高水平,1,推广应用,推广应用,发挥
,高标准,1,积极支持,积极支持,促进
,高度重视,1,高质量,高质量,作用
,继续,1,助力,助力,工作
,结构,1,技术创新,技术创新,积极
,积极支持,1,不断完善,不断完善,各国
,积极,1,高水平,高水平,引领
,活动,1,高度重视,高度重视,开放
,标准,1,国际贸易,国际贸易,继续
,更好,1,引领,引领,技术创新
,推广应用,1,,,
,技术创新,1,,,
,愿同,1,,,
,引领,1,,,
,开放,1,,,
,工作,1,,,
,国际贸易,1,,,
,国际,1,,,
,各国,1,,,
,发挥,1,,,
,发展,1,,,
,参与,1,,,
,助力,1,,,
,全球,1,,,
,促进,1,,,
,作用,1,,,
,体系,1,,,
,不断完善,1,,,
,一道,1,,,
,,,,,
区块链技术的集成应用在新的技术革新和产业变革中起着重要作用。我们要把区块链作为核心技术自主创新的重要突破口，明确主攻方向，加大投入力度，着力攻克一批关键核心技术，加快推动区块链技术和产业创新发展。,区块,3,区块,区块,创新
,重要,2,核心技术,核心技术,发展
,核心技术,2,中起,中起,技术
,技术,2,创新,创新,推动
,创新,2,产业,产业,加快
,产业,2,技术革新,技术革新,产业
,集成,1,技术,技术,我们
,自主,1,突破口,突破口,自主
,突破口,1,主攻,主攻,重要
,着力,1,集成,集成,关键
,明确,1,重要,重要,核心技术
,方向,1,攻克,攻克,作用
,攻克,1,着力,着力,变革
,推动,1,变革,变革,应用
,投入,1,自主,自主,加大
,技术革新,1,,,
,我们,1,,,
,应用,1,,,
,变革,1,,,
,发展,1,,,
,加快,1,,,
,加大,1,,,
,力度,1,,,
,关键,1,,,
,作用,1,,,
,作为,1,,,
,主攻,1,,,
,中起,1,,,
,一批,1,,,
,,,,,
区块链技术应用已延伸到数字金融、物联网、智能制造、供应链管理、数字资产交易等多个领域。目前，全球主要国家都在加快布局区块链技术发展。我国在区块链领域拥有良好基础，要加快推动区块链技术和产业创新发展，积极推进区块链和经济社会融合发展。,区块,5,区块,区块,创新
,技术,3,技术,技术,发展
,发展,3,数字,数字,技术
,领域,2,加快,加快,国家
,数字,2,领域,领域,推动
,加快,2,发展,发展,加快
,金融,1,良好基础,良好基础,我国
,资产,1,供应链,供应链,产业
,融合,1,经济社会,经济社会,领域
,良好基础,1,联网,联网,数字
,联网,1,融合,融合,推进
,经济社会,1,智能,智能,全球
,管理,1,延伸,延伸,融合
,积极,1,布局,布局,应用
,目前,1,多个,多个,积极
,智能,1,,,
,推进,1,,,
,推动,1,,,
,拥有,1,,,
,我国,1,,,
,延伸,1,,,
,应用,1,,,
,布局,1,,,
,多个,1,,,
,国家,1,,,
,制造,1,,,
,创新,1,,,
,全球,1,,,
,供应链,1,,,
,产业,1,,,
,交易,1,,,
,主要,1,,,
,,,,,
要强化基础研究，提升原始创新能力，努力让我国在区块链这个新兴领域走在理论最前沿、占据创新制高点、取得产业新优势。要推动协同攻关，加快推进核心技术突破，为区块链应用发展提供安全可控的技术支撑。要加强区块链标准化研究，提升国际话语权和规则制定权。要加快产业发展，发挥好市场优势，进一步打通创新链、应用链、价值链。要构建区块链产业生态，加快区块链和人工智能、大数据、物联网等前沿信息技术的深度融合，推动集成创新和融合应用。要加强人才队伍建设，建立完善人才培养体系，打造多种形式的高层次人才培养平台，培育一批领军人物和高水平创新团队。,区块,5,区块,区块,创新
,创新,4,创新,创新,发展
,应用,3,人才培养,人才培养,技术
,加快,3,加快,加快,建设
,产业,3,应用,应用,推动
,融合,2,产业,产业,加快
,研究,2,融合,融合,我国
,提升,2,优势,优势,加强
,推动,2,提升,提升,产业
,发展,2,最前沿,最前沿,领域
,加强,2,加强,加强,研究
,优势,2,推动,推动,国际
,人才培养,2,人才队伍,人才队伍,基础
,高水平,1,价值链,价值链,体系
,高层次,1,攻关,攻关,推进
,领域,1,,,
,领军人物,1,,,
,集成,1,,,
,进一步,1,,,
,这个,1,,,
,话语权,1,,,
,规则,1,,,
,联网,1,,,
,突破,1,,,
,生态,1,,,
,理论,1,,,
,深度,1,,,
,核心技术,1,,,
,标准化,1,,,
,构建,1,,,
,最前沿,1,,,
,新兴,1,,,
,数据,1,,,
,攻关,1,,,
,支撑,1,,,
,提供,1,,,
,推进,1,,,
,技术,1,,,
,打造,1,,,
,打通,1,,,
,我国,1,,,
,强化,1,,,
,建设,1,,,
,建立,1,,,
,平台,1,,,
,市场,1,,,
,完善,1,,,
,安全,1,,,
,多种形式,1,,,
,基础,1,,,
,培育,1,,,
,国际,1,,,
,团队,1,,,
,可控,1,,,
,取得,1,,,
,发挥,1,,,
,原始,1,,,
,占据,1,,,
,协同,1,,,
,努力,1,,,
,前沿,1,,,
,制高点,1,,,
,制定,1,,,
,创新能力,1,,,
,信息技术,1,,,
,体系,1,,,
,价值链,1,,,
,人才队伍,1,,,
,人工智能,1,,,
,一批,1,,,
,,,,,
要抓住区块链技术融合、功能拓展、产业细分的契机，发挥区块链在促进数据共享、优化业务流程、降低运营成本、提升协同效率、建设可信体系等方面的作用。要推动区块链和实体经济深度融合，解决中小企业贷款融资难、银行风控难、部门监管难等问题。要利用区块链技术探索数字经济模式创新，为打造便捷高效、公平竞争、稳定透明的营商环境提供动力，为推进供给侧结构性改革、实现各行业供需有效对接提供服务，为加快新旧动能接续转换、推动经济高质量发展提供支撑。要探索“区块链+”在民生领域的运用，积极推动区块链技术在教育、就业、养老、精准脱贫、医疗健康、商品防伪、食品安全、公益、社会救助等领域的应用，为人民群众提供更加智能、更加便捷、更加优质的公共服务。要推动区块链底层技术服务和新型智慧城市建设相结合，探索在信息基础设施、智慧交通、能源电力等领域的推广应用，提升城市管理的智能化、精准化水平。要利用区块链技术促进城市间在信息、资金、人才、征信等方面更大规模的互联互通，保障生产要素在区域内有序高效流动。要探索利用区块链数据共享模式，实现政务数据跨部门、跨区域共同维护和利用，促进业务协同办理，深化“最多跑一次”改革，为人民群众带来更好的政务服务体验。,区块,9,区块,区块,创新
,技术,5,探索,探索,发展
,提供,4,数据共享,数据共享,技术
,推动,4,技术,技术,建设
,探索,4,推动,推动,经济
,利用,4,利用,利用,推动
,领域,3,提供,提供,加快
,经济,3,精准,精准,产业
,服务,3,便捷,便捷,领域
,更加,3,促进,促进,人才
,城市,3,领域,领域,数字
,促进,3,服务,服务,实现
,高效,2,更加,更加,体系
,融合,2,协同,协同,社会
,群众,2,政务,政务,推进
,精准,2,,,
,模式,2,,,
,智慧,2,,,
,方面,2,,,
,数据共享,2,,,
,政务,2,,,
,改革,2,,,
,提升,2,,,
,建设,2,,,
,实现,2,,,
,协同,2,,,
,区域,2,,,
,信息,2,,,
,便捷,2,,,
,人民,2,,,
,高质量,1,,,
,食品安全,1,,,
,风控,1,,,
,降低,1,,,
,防伪,1,,,
,问题,1,,,
,银行,1,,,
,部门,1,,,
,透明,1,,,
,运营,1,,,
,运用,1,,,
,转换,1,,,
,跨部门,1,,,
,资金,1,,,
,贷款,1,,,
,解决,1,,,
,要素,1,,,
,行业,1,,,
,融资难,1,,,
,营商,1,,,
,脱贫,1,,,
,能源,1,,,
,维护,1,,,
,结构性,1,,,
,细分,1,,,
,管理,1,,,
,稳定,1,,,
,积极,1,,,
,社会,1,,,
,相结合,1,,,
,监管,1,,,
,电力,1,,,
,生产,1,,,
,环境,1,,,
,深度,1,,,
,深化,1,,,
,流动,1,,,
,水平,1,,,
,民生,1,,,
,有效,1,,,
,有序,1,,,
,最多,1,,,
,更好,1,,,
,智能化,1,,,
,智能,1,,,
,新旧,1,,,
,新型,1,,,
,数据,1,,,
,数字,1,,,
,教育,1,,,
,救助,1,,,
,效率,1,,,
,支撑,1,,,
,推进,1,,,
,推广应用,1,,,
,接续,1,,,
,拓展,1,,,
,抓住,1,,,
,打造,1,,,
,成本,1,,,
,征信,1,,,
,底层,1,,,
,应用,1,,,
,带来,1,,,
,就业,1,,,
,对接,1,,,
,实体,1,,,
,契机,1,,,
,大规模,1,,,
,基础设施,1,,,
,商品,1,,,
,可信,1,,,
,发挥,1,,,
,发展,1,,,
,医疗,1,,,
,动能,1,,,
,动力,1,,,
,加快,1,,,
,功能,1,,,
,办理,1,,,
,创新,1,,,
,养老,1,,,
,共同,1,,,
,公益,1,,,
,公平竞争,1,,,
,公共服务,1,,,
,健康,1,,,
,保障,1,,,
,供需,1,,,
,供给,1,,,
,作用,1,,,
,体验,1,,,
,体系,1,,,
,优质,1,,,
,优化,1,,,
,人才,1,,,
,产业,1,,,
,交通,1,,,
,互联互通,1,,,
,中小企业,1,,,
,业务流程,1,,,
,业务,1,,,
,一次,1,,,
,,,,,
要加强对区块链技术的引导和规范，加强对区块链安全风险的研究和分析，密切跟踪发展动态，积极探索发展规律。要探索建立适应区块链技术机制的安全保障体系，引导和推动区块链开发者、平台运营者加强行业自律、落实安全责任。要把依法治网落实到区块链管理中，推动区块链安全有序发展。,区块,6,区块,区块,发展
,安全,4,安全,安全,技术
,发展,3,加强,加强,推动
,加强,3,落实,落实,加强
,落实,2,引导,引导,研究
,推动,2,运营者,运营者,安全
,技术,2,治网,治网,机制
,引导,2,开发者,开发者,探索
,风险,1,发展,发展,管理
,适应,1,推动,推动,建立
,运营者,1,保障体系,保障体系,区块
,跟踪,1,积极探索,积极探索,规律
,责任,1,技术,技术,引导
,规范,1,自律,自律,平台
,规律,1,有序,有序,适应
,行业,1,,,
,自律,1,,,
,管理,1,,,
,积极探索,1,,,
,研究,1,,,
,治网,1,,,
,机制,1,,,
,有序,1,,,
,探索,1,,,
,开发者,1,,,
,建立,1,,,
,平台,1,,,
,密切,1,,,
,动态,1,,,
