原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
,发展,1,,,
,及时,1,,,
,制造业,1,,,
,创新,1,,,
,健全,1,,,
,做强,1,,,
,作用,1,,,
,体制,1,,,
,优化,1,,,
,企业,1,,,
,产品,1,,,
,产业,1,,,
,业态,1,,,
,不断,1,,,
,一批,1,,,
,,,,,
我们要坚持以民为本、生命至上，科学调配医疗力量和重要物资，在防护、隔离、检测、救治、追踪等重要领域采取有力举措，尽快遏制疫情在全球蔓延态势，尽力阻止疫情跨境传播。要加强信息分享，交流有益经验和做法，开展检测方法、临床救治、疫苗药物研发国际合作，并继续支持各国科学家们开展病毒源头和传播途径的全球科学研究。,重要,2,救治,救治,加强
,疫情,2,疫情,疫情,我们
,检测,2,检测,检测,合作
,救治,2,传播,传播,科学
,开展,2,开展,开展,领域
,全球,2,以民为本,以民为本,国际
,传播,2,全球,全球,重要
,领域,1,至上,至上,坚持
,隔离,1,调配,调配,全球
,阻止,1,追踪,追踪,支持
,防护,1,隔离,隔离,科学家
,采取,1,跨境,跨境,研发
,遏制,1,源头,源头,各国
,途径,1,重要,重要,力量
,追踪,1,尽力,尽力,开展
,跨境,1,,,
,调配,1,,,
,蔓延,1,,,
,药物,1,,,
,至上,1,,,
,继续,1,,,
,经验,1,,,
,科学研究,1,,,
,科学家,1,,,
,科学,1,,,
,研发,1,,,
,病毒,1,,,
,疫苗,1,,,
,生命,1,,,
,物资,1,,,
,源头,1,,,
,有益,1,,,
,有力,1,,,
,方法,1,,,
,支持,1,,,
,我们,1,,,
,态势,1,,,
,尽快,1,,,
,尽力,1,,,
,坚持,1,,,
,国际,1,,,
,合作,1,,,
,各国,1,,,
,医疗,1,,,
,加强,1,,,
,力量,1,,,
,分享,1,,,
,做法,1,,,
,信息,1,,,
,以民为本,1,,,
,交流,1,,,
,举措,1,,,
,临床,1,,,
,,,,,
面向未来，我们要把满足国内需求作为发展的出发点和落脚点，加快构建完整的内需体系，大力推进科技创新及其他各方面创新，加快推进数字经济、智能制造、生命健康、新材料等战略性新兴产业，形成更多新的增长点、增长极，着力打通生产、分配、流通、消费各个环节，逐步形成以国内大循环为主体、国内国际双循环相互促进的新发展格局，培育新形势下我国参与国际合作和竞争新优势。,国内,3,国内,国内,创新
,推进,2,双循环,双循环,科技
,国际,2,加快,加快,发展
,发展,2,创新,创新,经济
,加快,2,推进,推进,加快
,创新,2,面向未来,面向未来,我国
,面向未来,1,落脚点,落脚点,我们
,需求,1,相互促进,相互促进,合作
,逐步形成,1,增长极,增长极,国际
,落脚点,1,新形势下,新形势下,数字
,经济,1,各个环节,各个环节,体系
,竞争,1,国际,国际,推进
,科技,1,出发点,出发点,优势
,着力,1,逐步形成,逐步形成,形成
,相互促进,1,打通,打通,方面
,生命,1,,,
,生产,1,,,
,满足,1,,,
,消费,1,,,
,流通,1,,,
,格局,1,,,
,构建,1,,,
,材料,1,,,
,智能,1,,,
,方面,1,,,
,新形势下,1,,,
,新兴产业,1,,,
,数字,1,,,
,打通,1,,,
,战略性,1,,,
,我国,1,,,
,我们,1,,,
,循环,1,,,
,形成,1,,,
,完整,1,,,
,大力,1,,,
,增长点,1,,,
,增长极,1,,,
,培育,1,,,
,合作,1,,,
,各个环节,1,,,
,双循环,1,,,
,及其,1,,,
,参与,1,,,
,制造,1,,,
,分配,1,,,
,出发点,1,,,
,内需,1,,,
,健康,1,,,
,作为,1,,,
,体系,1,,,
,优势,1,,,
,主体,1,,,
,,,,,
要发挥我军医学科研优势，加快新冠肺炎药物和疫苗研发，拿出更多硬核产品。要坚持向科技创新要战斗力，加强国防科技创新特别是自主创新、原始创新。,创新,4,创新,创新,创新
,药物,1,硬核,硬核,科技
,自主,1,新冠,新冠,加快
,肺炎,1,国防科技,国防科技,加强
,科研,1,肺炎,肺炎,自主
,科技,1,战斗力,战斗力,坚持
,硬核,1,科研,科研,发挥
,研发,1,我军,我军,优势
,疫苗,1,疫苗,疫苗,研发
,特别,1,医学,医学,科研
,新冠,1,研发,研发,产品
,拿出,1,自主,自主,特别
,战斗力,1,拿出,拿出,新冠
,我军,1,原始,原始,肺炎
,坚持,1,药物,药物,疫苗
,国防科技,1,,,
,发挥,1,,,
,原始,1,,,
,医学,1,,,
,加快,1,,,
,加强,1,,,
,优势,1,,,
,产品,1,,,
,,,,,
创新是引领发展的第一动力，科技是战胜困难的有力武器。面对突如其来的新冠肺炎疫情，全国科技工作者迎难而上、攻坚克难，在临床救治、疫苗研发、物质保障、大数据应用等方面夜以继日攻关，为疫情防控斗争提供了科技支撑。希望全国科技工作者弘扬优良传统，坚定创新自信，着力攻克关键核心技术，促进产学研深度融合，勇于攀登科技高峰，为把我国建设成为世界科技强国作出新的更大的贡献。,科技,6,科技,科技,创新
,疫情,2,疫情,疫情,科技
,工作者,2,工作者,工作者,发展
,创新,2,攻坚克难,攻坚克难,建设
,全国,2,新冠,新冠,我国
,高峰,1,创新,创新,世界
,面对,1,迎难而上,迎难而上,关键
,防控,1,夜以继日,夜以继日,核心技术
,迎难而上,1,产学研,产学研,促进
,贡献,1,攻关,攻关,融合
,融合,1,优良传统,优良传统,工作者
,自信,1,全国,全国,应用
,肺炎,1,勇于,勇于,成为
,第一,1,攀登,攀登,支撑
,突如其来,1,弘扬,弘扬,方面
,研发,1,,,
,着力,1,,,
,疫苗,1,,,
,物质,1,,,
,深度,1,,,
,武器,1,,,
,核心技术,1,,,
,有力,1,,,
,方面,1,,,
,新冠,1,,,
,斗争,1,,,
,数据,1,,,
,救治,1,,,
,攻坚克难,1,,,
,攻关,1,,,
,攻克,1,,,
,支撑,1,,,
,攀登,1,,,
,提供,1,,,
,战胜,1,,,
,我国,1,,,
,成为,1,,,
,强国,1,,,
,弘扬,1,,,
,引领,1,,,
,建设,1,,,
,应用,1,,,
,希望,1,,,
,夜以继日,1,,,
,坚定,1,,,
,困难,1,,,
,发展,1,,,
,勇于,1,,,
,动力,1,,,
,关键,1,,,
,保障,1,,,
,促进,1,,,
,作出,1,,,
,优良传统,1,,,
,产学研,1,,,
,临床,1,,,
,世界,1,,,
,,,,,
要加强研究论证，总结中医药防治疫病的理论和诊疗规律，组织科技攻关，既用好现代评价手段，也要充分尊重几千年的经验，说明白、讲清楚中医药的疗效。要加强古典医籍精华的梳理和挖掘，建设一批科研支撑平台，改革完善中药审评审批机制，促进中药新药研发和产业发展。,加强,2,中医药,中医药,发展
,中药,2,中药,中药,建设
,中医药,2,既用,既用,加强
,防治,1,医籍,医籍,产业
,诊疗,1,审评,审评,研究
,评价,1,加强,加强,促进
,论证,1,科技攻关,科技攻关,支撑
,讲清楚,1,新药,新药,改革
,规律,1,疫病,疫病,研发
,经验,1,讲清楚,讲清楚,一批
,组织,1,诊疗,诊疗,组织
,精华,1,梳理,梳理,机制
,科研,1,几千年,几千年,科研
,科技攻关,1,精华,精华,现代
,研究,1,疗效,疗效,完善
,研发,1,,,
,疫病,1,,,
,疗效,1,,,
,理论,1,,,
,现代,1,,,
,梳理,1,,,
,机制,1,,,
,明白,1,,,
,既用,1,,,
,新药,1,,,
,改革,1,,,
,支撑,1,,,
,挖掘,1,,,
,手段,1,,,
,总结,1,,,
,建设,1,,,
,平台,1,,,
,尊重,1,,,
,审评,1,,,
,审批,1,,,
,完善,1,,,
,古典,1,,,
,发展,1,,,
,医籍,1,,,
,几千年,1,,,
,充分,1,,,
,促进,1,,,
,产业,1,,,
,一批,1,,,
,,,,,
发挥科技在重大疫情防控中的支撑作用。我一直强调，科学技术是人类同疾病斗争的锐利武器，人类战胜大灾大疫离不开科学发展和技术创新。这次疫情初期，我国研究机构通力合作，开展病因学调查和病原鉴定等，用8天时间在世界上首先判明“不明原因病毒性肺炎”的病原体为“新型冠状病毒”；用16天时间完成诊断试剂盒的优化，具备了较大规模筛查疑似病例的能力；并且迅速筛选了一批有效药物和治疗方案，多条技术路线的疫苗研发进入临床试验阶段，为疫情防控提供了强有力支撑。,疫情,3,疫情,疫情,科技
,防控,2,防控,防控,发展
,时间,2,锐利武器,锐利武器,技术
,支撑,2,疑似病例,疑似病例,我国
,人类,2,冠状病毒,冠状病毒,科学
,首先,1,试剂盒,试剂盒,研究
,阶段,1,病因学,病因学,重大
,锐利武器,1,大疫,大疫,发挥
,鉴定,1,16,16,人类
,重大,1,支撑,支撑,作用
,通力合作,1,人类,人类,能力
,进入,1,大灾,大灾,科学技术
,这次,1,临床试验,临床试验,支撑
,迅速,1,判明,判明,研发
,路线,1,通力合作,通力合作,一批
,调查,1,,,
,试剂盒,1,,,
,诊断,1,,,
,药物,1,,,
,能力,1,,,
,肺炎,1,,,
,筛选,1,,,
,筛查,1,,,
,科技,1,,,
,科学技术,1,,,
,科学,1,,,
,离不开,1,,,
,研究,1,,,
,研发,1,,,
,病毒性,1,,,
,病因学,1,,,
,病原体,1,,,
,病原,1,,,
,疾病,1,,,
,疫苗,1,,,
,疑似病例,1,,,
,治疗,1,,,
,机构,1,,,
,有效,1,,,
,方案,1,,,
,新型,1,,,
,斗争,1,,,
,提供,1,,,
,技术创新,1,,,
,技术,1,,,
,战胜,1,,,
,我国,1,,,
,强调,1,,,
,强有力,1,,,
,开展,1,,,
,并且,1,,,
,完成,1,,,
,大规模,1,,,
,大疫,1,,,
,大灾,1,,,
,多条,1,,,
,在世界上,1,,,
,发挥,1,,,
,发展,1,,,
,原因,1,,,
,判明,1,,,
,初期,1,,,
,冠状病毒,1,,,
,具备,1,,,
,作用,1,,,
,优化,1,,,
,临床试验,1,,,
,不明,1,,,
,一直,1,,,
,一批,1,,,
,16,1,,,
,,,,,
生命安全和生物安全领域的重大科技成果是国之重器，一定要掌握在自己手中。要加大卫生健康领域科技投入，加快完善平战结合的疫病防控和公共卫生科研攻关体系，集中力量开展核心技术攻关，持续加大重大疫病防治经费投入，加快补齐我国在生命科学、生物技术、医药卫生、医疗设备等领域的短板。当前，我们一定要发挥新型举国体制的优势，力争率先研发成功新冠肺炎疫苗，争取战略主动。要深化科研人才发展体制机制改革，完善战略科学家和创新型科技人才发现、培养、激励机制，吸引更多优秀人才进入科研队伍，为他们脱颖而出创造条件。,领域,3,科研,科研,科技
,科研,3,攻关,攻关,发展
,重大,2,疫病,疫病,技术
,疫病,2,领域,领域,加快
,生物,2,平战结合,平战结合,我国
,攻关,2,重器,重器,我们
,投入,2,新冠,新冠,领域
,战略,2,完善,完善,人才
,完善,2,投入,投入,战略
,加快,2,生物,生物,体系
,加大,2,举国体制,举国体制,重大
,一定,2,加大,加大,发挥
,集中力量,1,加快,加快,优势
,防治,1,战略,战略,核心技术
,防控,1,重大,重大,科学家
,队伍,1,,,
,重器,1,,,
,进入,1,,,
,设备,1,,,
,补齐,1,,,
,自己,1,,,
,脱颖而出,1,,,
,肺炎,1,,,
,经费,1,,,
,科技成果,1,,,
,科技人才,1,,,
,科技,1,,,
,科学家,1,,,
,研发,1,,,
,短板,1,,,
,疫苗,1,,,
,生命科学,1,,,
,生命安全,1,,,
,率先,1,,,
,激励机制,1,,,
,深化,1,,,
,核心技术,1,,,
,机制,1,,,
,新型,1,,,
,新冠,1,,,
,改革,1,,,
,掌握,1,,,
,持续,1,,,
,技术,1,,,
,手中,1,,,
,我国,1,,,
,我们,1,,,
,成功,1,,,
,当前,1,,,
,开展,1,,,
,平战结合,1,,,
,安全,1,,,
,培养,1,,,
,吸引,1,,,
,发现,1,,,
,发挥,1,,,
,发展,1,,,
,卫生,1,,,
,医药卫生,1,,,
,医疗,1,,,
,力争,1,,,
,创造条件,1,,,
,创新型,1,,,
,公共卫生,1,,,
,健康,1,,,
,体系,1,,,
,体制,1,,,
,优秀人才,1,,,
,优势,1,,,
,他们,1,,,
,人才,1,,,
,争取,1,,,
,举国体制,1,,,
,主动,1,,,
,,,,,
要发挥创新驱动作用，推动产业向高端化、绿色化、智能化、融合化方向发展。,高端化,1,高端化,高端化,创新
,驱动,1,智能化,智能化,发展
,融合,1,融合,融合,推动
,绿色,1,驱动,驱动,产业
,智能化,1,绿色,绿色,发挥
,方向,1,发挥,发挥,作用
,推动,1,创新,创新,融合
,发挥,1,产业,产业,驱动
,发展,1,方向,方向,绿色
,创新,1,推动,推动,方向
,作用,1,作用,作用,智能化
,产业,1,发展,发展,高端化
,,,,,
要提升产业链供应链现代化水平，大力推动科技创新，加快关键核心技术攻关，打造未来发展新优势。,科技,1,攻关,攻关,创新
,现代化,1,供应链,供应链,科技
,水平,1,核心技术,核心技术,发展
,核心技术,1,产业链,产业链,推动
,未来,1,打造,打造,加快
,攻关,1,大力,大力,关键
,提升,1,现代化,现代化,优势
,推动,1,关键,关键,核心技术
,打造,1,科技,科技,提升
,大力,1,加快,加快,水平
,发展,1,创新,创新,现代化
,加快,1,优势,优势,攻关
,创新,1,提升,提升,打造
,关键,1,推动,推动,大力
,供应链,1,水平,水平,未来
,优势,1,,,
,产业链,1,,,
,,,,,
农业现代化，关键是农业科技现代化。要加强农业与科技融合，加强农业科技创新，科研人员要把论文写在大地上，让农民用最好的技术种出最好的粮食。要认真总结和推广梨树模式，采取有效措施切实把黑土地这个“耕地中的大熊猫”保护好、利用好，使之永远造福人民。,农业,4,农业,农业,创新
,科技,3,科技,科技,科技
,现代化,2,现代化,现代化,技术
,最好,2,黑土地,黑土地,加强
,加强,2,种出,种出,关键
,黑土地,1,最好,最好,农业
,采取有效,1,加强,加强,融合
,造福,1,梨树,梨树,人民
,这个,1,认真总结,认真总结,现代化
,论文,1,采取有效,采取有效,模式
,认真总结,1,科研人员,科研人员,保护
,融合,1,造福,造福,这个
,耕地,1,大熊猫,大熊猫,利用
,粮食,1,切实,切实,科研人员
,科研人员,1,论文,论文,推广
,种出,1,,,
,永远,1,,,
,模式,1,,,
,梨树,1,,,
,措施,1,,,
,推广,1,,,
,技术,1,,,
,大熊猫,1,,,
,地上,1,,,
,利用,1,,,
,创新,1,,,
,切实,1,,,
,农民,1,,,
,关键,1,,,
,保护,1,,,
,人民,1,,,
,,,,,
推动我国汽车制造业高质量发展，必须加强关键核心技术和关键零部件的自主研发，实现技术自立自强，做强做大民族品牌。当今世界制造业竞争激烈，要抢抓机遇，大力发展战略性新兴产业，实现弯道超车。,实现,2,自立自强,自立自强,发展
,制造业,2,制造业,制造业,技术
,关键,2,关键,关键,推动
,高质量,1,做强,做强,我国
,零部件,1,抢抓,抢抓,加强
,超车,1,弯道,弯道,自主
,自立自强,1,实现,实现,实现
,自主,1,超车,超车,关键
,竞争,1,当今世界,当今世界,核心技术
,研发,1,高质量,高质量,必须
,激烈,1,核心技术,核心技术,研发
,汽车,1,零部件,零部件,机遇
,民族,1,大力发展,大力发展,高质量
,核心技术,1,战略性,战略性,自立自强
,机遇,1,新兴产业,新兴产业,竞争
,新兴产业,1,,,
,推动,1,,,
,抢抓,1,,,
,技术,1,,,
,战略性,1,,,
,我国,1,,,
,必须,1,,,
,当今世界,1,,,
,弯道,1,,,
,大力发展,1,,,
,品牌,1,,,
,发展,1,,,
,加强,1,,,
,做强,1,,,
,,,,,
要加快高标准农田建设，强化农业科技和装备支撑，深化农业供给侧结构性改革，加快发展绿色农业，推进农村三产融合。,农业,3,农业,农业,科技
,加快,2,三产,三产,发展
,高标准,1,加快,加快,建设
,装备,1,高标准,高标准,加快
,融合,1,农田,农田,推进
,绿色,1,深化,深化,农业
,结构性,1,结构性,结构性,融合
