原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
在生产领域，要建立以节地、节水为中心的资源节约型农业生产体系，加快发展服务业和高新技术产业，加速国民经济信息化，用先进适用技术改造提升传统产业，严格控制高耗能、高耗材、高耗水产业的发展，坚决淘汰严重耗费资源和污染环境的落后生产能力，努力形成有利于资源持续利用和环境保护的产业结构。,资源,2,以节,以节,发展
,生产,2,高耗,高耗,加快
,发展,2,耗材,耗材,产业
,高耗能,1,资源,资源,领域
,高耗,1,水产业,水产业,体系
,高新技术,1,资源节约型,资源节约型,农业
,领域,1,污染环境,污染环境,资源
,适用,1,高耗能,高耗能,提升
,资源节约型,1,传统产业,传统产业,形成
,落后,1,生产,生产,努力
,节水,1,节水,节水,先进
,耗费,1,技术改造,技术改造,生产
,耗材,1,严格控制,严格控制,持续
,生产能力,1,高新技术,高新技术,建立
,环境保护,1,环境保护,环境保护,中心
,淘汰,1,,,
,污染环境,1,,,
,水产业,1,,,
,服务业,1,,,
,有利于,1,,,
,提升,1,,,
,持续,1,,,
,技术改造,1,,,
,形成,1,,,
,建立,1,,,
,坚决,1,,,
,国民经济,1,,,
,努力,1,,,
,加速,1,,,
,加快,1,,,
,利用,1,,,
,农业,1,,,
,先进,1,,,
,信息化,1,,,
,体系,1,,,
,传统产业,1,,,
,以节,1,,,
,产业结构,1,,,
,产业,1,,,
,中心,1,,,
,严重,1,,,
,严格控制,1,,,
,,,,,
科技创新是建设节约型社会的关键。要加大对资源节约和循环利用关键技术的攻关力度，组织开发和示范有重大推广意义的资源节约和替代技术，努力突破技术瓶颈，大力推广应用节约资源的新技术、新工艺、新设备和新材料，构建节约资源的技术支撑体系。,技术,4,节约资源,节约资源,创新
,资源,2,技术,技术,科技
,节约资源,2,节约,节约,技术
,节约,2,支撑体系,支撑体系,建设
,重大,1,节约型,节约型,社会
,设备,1,大力推广,大力推广,关键
,节约型,1,资源,资源,重大
,组织,1,攻关,攻关,突破
,突破,1,新工艺,新工艺,资源
,科技,1,关键技术,关键技术,应用
,社会,1,瓶颈,瓶颈,努力
,示范,1,示范,示范,加大
,瓶颈,1,构建,构建,组织
,构建,1,替代,替代,构建
,材料,1,推广,推广,力度
,替代,1,,,
,新工艺,1,,,
,攻关,1,,,
,支撑体系,1,,,
,推广,1,,,
,意义,1,,,
,循环,1,,,
,开发,1,,,
,建设,1,,,
,应用,1,,,
,大力推广,1,,,
,努力,1,,,
,加大,1,,,
,力度,1,,,
,利用,1,,,
,创新,1,,,
,关键技术,1,,,
,关键,1,,,
,,,,,
通过科技创新和技术革新节约成本、降低消耗，是我们国家从社会主义建设初期就形成并保持下来的一个好做法、好传统。在社会主义市场经济条件下，在以信息技术、新能源、新材料、生物工程等高新技术引领科技潮流的背景下，我们建设节约型社会，更要以推进创新型国家建设为契机，通过科技创新来降低生产、消费、流通等各个领域的资源消耗。现代社会早就告别了烟囱林立的“大工业时代”，进入了信息化时代。节约资源，特别是节约不可再生资源成为现代科技发展最突出的特征和最重要的目标。我们建设节约型社会，就要健全政府支持、企业主导、产学研结合的技术研究和开发体系，加大对资源节约和循环利用关键技术的攻关力度，努力突破技术瓶颈，构建节约资源的技术支撑体系。在节约方面的技术创新，一方面，要眼睛向内，大力推广已有的技术，使之真正发挥效用。另一方面，要眼睛向外，注重对引进技术的系统集成和综合创新，不求所有，但求所用。同时，要充分发挥人才在技术创新中的关键作用，加快科技成果向现实生产力转化，使经济发展真正走上依靠科技进步和提高劳动者素质的轨道。,节约,4,节约,节约,创新
,技术,4,节约型,节约型,科技
,建设,4,节约资源,节约资源,发展
,科技,3,建设,建设,技术
,社会,3,技术,技术,建设
,我们,3,科技,科技,经济
,创新,3,技术创新,技术创新,国家
,通过,2,创新,创新,加快
,资源,2,降低消耗,降低消耗,我们
,节约资源,2,社会,社会,人才
,节约型,2,社会主义,社会主义,企业
,社会主义,2,支撑体系,支撑体系,研究
,眼睛,2,引进技术,引进技术,重要
,真正,2,时代,时代,体系
,时代,2,现代科技,现代科技,社会
,技术创新,2,,,
,国家,2,,,
,发展,2,,,
,高新技术,1,,,
,降低生产,1,,,
,降低消耗,1,,,
,重要,1,,,
,进入,1,,,
,转化,1,,,
,轨道,1,,,
,走上,1,,,
,背景,1,,,
,综合,1,,,
,结合,1,,,
,经济,1,,,
,素质,1,,,
,系统集成,1,,,
,突破,1,,,
,突出,1,,,
,科技进步,1,,,
,科技成果,1,,,
,研究,1,,,
,目标,1,,,
,生物工程,1,,,
,生产力,1,,,
,瓶颈,1,,,
,现实,1,,,
,现代科技,1,,,
,现代,1,,,
,特征,1,,,
,特别,1,,,
,烟囱,1,,,
,潮流,1,,,
,消费,1,,,
,消耗,1,,,
,流通,1,,,
,注重,1,,,
,林立,1,,,
,构建,1,,,
,条件,1,,,
,材料,1,,,
,更要,1,,,
,早就,1,,,
,方面,1,,,
,新能源,1,,,
,效用,1,,,
,政府,1,,,
,攻关,1,,,
,支撑体系,1,,,
,支持,1,,,
,提高,1,,,
,推进,1,,,
,技术革新,1,,,
,所用,1,,,
,所有,1,,,
,成本,1,,,
,成为,1,,,
,循环,1,,,
,形成,1,,,
,引领,1,,,
,引进技术,1,,,
,开发,1,,,
,市场经济,1,,,
,已有,1,,,
,工业,1,,,
,就要,1,,,
,契机,1,,,
,大力推广,1,,,
,告别,1,,,
,向外,1,,,
,同时,1,,,
,各个领域,1,,,
,另一方面,1,,,
,发挥,1,,,
,劳动者,1,,,
,努力,1,,,
,加快,1,,,
,加大,1,,,
,力度,1,,,
,利用,1,,,
,初期,1,,,
,创新型,1,,,
,再生资源,1,,,
,关键技术,1,,,
,关键作用,1,,,
,充分发挥,1,,,
,健全,1,,,
,做法,1,,,
,信息技术,1,,,
,信息化,1,,,
,保持,1,,,
,依靠,1,,,
,体系,1,,,
,但求,1,,,
,传统,1,,,
,企业,1,,,
,人才,1,,,
,产学研,1,,,
,主导,1,,,
,不可,1,,,
,下来,1,,,
,一方面,1,,,
,一个,1,,,
,,,,,
必须从科学发展观的要求出发，推进经济结构的战略性调整和增长方式的根本性转变。这方面的工作十分繁重，概括起来主要就是两项内容，打个通俗的比喻，就是要养好“两只鸟”：一个是“凤凰涅槃”，另一个是“腾笼换鸟”。所谓“凤凰涅槃”，就是要拿出壮士断腕的勇气，摆脱对粗放型增长的依赖，大力提高自主创新能力，建设科技强省和品牌大省，以信息化带动工业化，打造先进制造业基地，发展现代服务业，变制造为创造，变贴牌为创牌，实现产业和企业的浴火重生、脱胎换骨。,就是,3,涅槃,涅槃,科技
,涅槃,2,凤凰,凤凰,发展
,增长,2,壮士断腕,壮士断腕,建设
,凤凰,2,浴火重生,浴火重生,经济
,一个,2,要养,要养,产业
,通俗,1,腾笼,腾笼,科学
,这方面,1,强省,强省,企业
,转变,1,大省,大省,自主
,起来,1,变贴,变贴,实现
,调整,1,牌为,牌为,推进
,要求,1,创牌,创牌,工作
,要养,1,大力提高,大力提高,创新能力
,自主,1,就是,就是,必须
,腾笼,1,粗放型,粗放型,创造
,脱胎换骨,1,脱胎换骨,脱胎换骨,现代
,结构,1,,,
,经济,1,,,
,繁重,1,,,
,粗放型,1,,,
,科技,1,,,
,科学,1,,,
,现代,1,,,
,牌为,1,,,
,浴火重生,1,,,
,比喻,1,,,
,概括,1,,,
,根本性,1,,,
,服务业,1,,,
,方式,1,,,
,摆脱,1,,,
,推进,1,,,
,拿出,1,,,
,打造,1,,,
,打个,1,,,
,所谓,1,,,
,战略性,1,,,
,必须,1,,,
,强省,1,,,
,建设,1,,,
,带动,1,,,
,工作,1,,,
,工业化,1,,,
,实现,1,,,
,大省,1,,,
,大力提高,1,,,
,壮士断腕,1,,,
,基地,1,,,
,品牌,1,,,
,变贴,1,,,
,发展观,1,,,
,发展,1,,,
,十分,1,,,
,勇气,1,,,
,制造业,1,,,
,制造,1,,,
,创造,1,,,
,创牌,1,,,
,创新能力,1,,,
,出发,1,,,
,内容,1,,,
,先进,1,,,
,信息化,1,,,
,依赖,1,,,
,企业,1,,,
,产业,1,,,
,主要,1,,,
,两项,1,,,
,两只,1,,,
,,,,,
加强科技进步和自主创新，是转变增长方式，破解资源环境约束，推动经济社会又快又好发展的根本之计。,转变,1,又快又好,又快又好,创新
,资源,1,科技进步,科技进步,发展
,自主,1,破解,破解,推动
,经济社会,1,之计,之计,加强
,约束,1,经济社会,经济社会,自主
,科技进步,1,自主,自主,资源
,破解,1,约束,约束,环境
,环境,1,转变,转变,经济社会
,根本,1,创新,创新,转变
,方式,1,根本,根本,方式
,推动,1,资源,资源,增长
,增长,1,加强,加强,科技进步
,发展,1,推动,推动,根本
,又快又好,1,环境,环境,破解
,加强,1,方式,方式,约束
,创新,1,,,
,之计,1,,,
,,,,,
加强科技进步和自主创新，是顺应经济全球化趋势，加快提高国际竞争力的关键所在。改革开放以来，我省通过大量引进国外先进技术，不断提升产业技术水平和产品生产能力，促进了特色优势产业和块状经济的快速发展。但是，对外技术依存度偏高，技术引进明显存在重硬件、轻软件，重引进、轻消化，重模仿、轻创新的问题。这使我省许多企业的科技创新陷入了“引进落后再引进再落后”的不良循环，缺乏自主知识产权和核心技术，始终处于国际产业分工和产品价值链的低端。随着经济全球化趋势的加深和我国入世后过渡期的到来，我省企业自主创新能力不强和自主知识产权不多的弱点进一步显现。,自主,4,引进,引进,创新
,引进,4,自主,自主,科技
,经济,3,我省,我省,发展
,我省,3,创新,创新,技术
,创新,3,全球化,全球化,经济
,趋势,2,知识产权,知识产权,加快
,落后,2,落后,落后,我国
,知识产权,2,后过渡期,后过渡期,加强
,技术,2,优势产业,优势产业,产业
,国际,2,产业,产业,企业
,全球化,2,技术引进,技术引进,国际
,企业,2,经济,经济,自主
,产品,2,趋势,趋势,提高
,产业,2,入世,入世,核心技术
,顺应,1,价值链,价值链,提升
,随着,1,,,
,陷入,1,,,
,问题,1,,,
,通过,1,,,
,进一步,1,,,
,这使,1,,,
,软件,1,,,
,许多,1,,,
,缺乏,1,,,
,竞争力,1,,,
,科技进步,1,,,
,科技,1,,,
,硬件,1,,,
,生产能力,1,,,
,特色,1,,,
,消化,1,,,
,模仿,1,,,
,核心技术,1,,,
,显现,1,,,
,明显,1,,,
,改革开放,1,,,
,提高,1,,,
,提升,1,,,
,技术水平,1,,,
,技术引进,1,,,
,我国,1,,,
,快速,1,,,
,循环,1,,,
,弱点,1,,,
,对外,1,,,
,存在,1,,,
,始终,1,,,
,大量,1,,,
,处于,1,,,
,块状,1,,,
,国外,1,,,
,后过渡期,1,,,
,发展,1,,,
,加深,1,,,
,加快,1,,,
,加强,1,,,
,到来,1,,,
,创新能力,1,,,
,分工,1,,,
,关键所在,1,,,
,入世,1,,,
,先进,1,,,
,偏高,1,,,
,促进,1,,,
,依存度,1,,,
,低端,1,,,
,但是,1,,,
,优势产业,1,,,
,价值链,1,,,
,以来,1,,,
,不良,1,,,
,不断,1,,,
,不强,1,,,
,不多,1,,,
,,,,,
我省加快创新型省份建设，在工作指导上必须把握好以下几个方面：,省份,1,创新型,创新型,建设
,方面,1,省份,省份,加快
,指导,1,我省,我省,工作
,把握,1,把握,把握,必须
,我省,1,指导,指导,方面
,必须,1,加快,加快,创新型
,建设,1,以下,以下,把握
,工作,1,建设,建设,我省
,加快,1,几个,几个,省份
,创新型,1,必须,必须,指导
,几个,1,方面,方面,几个
,以下,1,工作,工作,以下
,,,,,
第一，坚持培育和弘扬与时俱进的浙江精神，进一步激发全社会的创新创造。创新首先是一种求异的思维和实践活动，充满着不确定性和风险性，必须要有一种精神和勇气来支撑。英国著名哲学家怀特海把创新喻为“思想的历险”，这个话非常深刻，只有在思想上突破传统，拥有了奋起自强的精神，敢于探索和实践的勇气，自主创新才会大有可为。从世界历史范围看，通过自主创新实现赶超的只有少数国家和地区，而这些国家和地区都具有很强的民族精神，把创新作为国家的意志。浙江人向来不乏创新的意识和实践的勇气。千百年来，浙江特有的地理环境、生产生活方式、历史上的多次人口迁徙和文化交融，造就了浙江人民兼有农耕文明和海洋文明的文化特质，锤炼了浙江人民兼容并蓄、励志图强的生活气度，砥砺了浙江人民厚德崇文、创业创新的精神品格。改革开放以来，浙江人民传承勤勉创业、励志创新的文化传统和精神品质，先人一步，积极探索，大胆实践，在改革和发展领域创下了许许多多的全国第一，走出了一条具有时代特征、中国特色、浙江特点的发展道路。创新的时代呼唤创新的文化。建设创新型省份，更需要敢于创新的精神和探路者直面荆棘的无畏勇气。要进一步丰富和发展浙江精神，与时俱进地培育和弘扬“求真务实，诚信和谐，开放图强”的精神，将传统文化的精华与现代文明相结合，博采众长，推陈出新，形成有浙江特色的创新文化。努力构建倡导创新价值体系，在全社会树立崇尚科学、求真务实的价值观念和创新意识，使自主创新成为一种精神、一种品质、一种风尚，为自主创新奠定最广泛、最坚实的社会人文基础。要尊重群众的首创精神，创造一个公平、竞争、合作的创新创业环境，营造一种敢为人先、敢冒风险，勇于探索、宽容失败的政策和文化氛围，提高全民创新的积极性，进一步激发全社会的创造活力。,创新,18,创新,创新,创新
,精神,10,精神,精神,发展
,浙江,9,浙江,浙江,建设
,文化,6,勇气,勇气,国家
,一种,6,文化,文化,合作
,自主,4,自主,自主,科学
,社会,4,实践,实践,中国
,实践,4,一种,一种,领域
,勇气,4,求真务实,求真务实,世界
,人民,4,励志,励志,自主
,进一步,3,创业,创业,基础
,国家,3,人民,人民,实现
,发展,3,图强,图强,社会
,创造,3,与时俱进,与时俱进,坚持
,创业,3,弘扬,弘扬,提高
,传统,3,,,
,第一,2,,,
,生活,2,,,
,特色,2,,,
,激发,2,,,
,求真务实,2,,,
,文明,2,,,
,意识,2,,,
,弘扬,2,,,
,培育,2,,,
,地区,2,,,
,图强,2,,,
,品质,2,,,
,只有,2,,,
,历史,2,,,
,励志,2,,,
,具有,2,,,
,与时俱进,2,,,
,首创精神,1,,,
,首先,1,,,
,风险性,1,,,
,风尚,1,,,
,领域,1,,,
,非常,1,,,
,需要,1,,,
,锤炼,1,,,
,道路,1,,,
,造就,1,,,
,通过,1,,,
,这些,1,,,
,这个,1,,,
,迁徙,1,,,
,赶超,1,,,
,走出,1,,,
,诚信,1,,,
,许许多多,1,,,
,著名,1,,,
,营造,1,,,
,荆棘,1,,,
,范围,1,,,
,英国,1,,,
,自强,1,,,
,精华,1,,,
,竞争,1,,,
,突破,1,,,
,积极探索,1,,,
,积极性,1,,,
,科学,1,,,
,砥砺,1,,,
,省份,1,,,
,相结合,1,,,
,直面,1,,,
,生产,1,,,
,现代文明,1,,,
,环境,1,,,
,特质,1,,,
,特点,1,,,
,特有,1,,,
,深刻,1,,,
,海洋,1,,,
,浙江人,1,,,
,活动,1,,,
,活力,1,,,
,求异,1,,,
,气度,1,,,
,民族,1,,,
,树立,1,,,
,构建,1,,,
,时代特征,1,,,
,时代,1,,,
,无畏,1,,,
,方式,1,,,
,文化氛围,1,,,
,敢于创新,1,,,
,敢于,1,,,
,敢为人先,1,,,
,政策,1,,,
,改革开放,1,,,
,改革,1,,,
,支撑,1,,,
,提高,1,,,
,推陈出新,1,,,
,探路者,1,,,
,探索,1,,,
,拥有,1,,,
,成为,1,,,
,意志,1,,,
,思维,1,,,
,思想,1,,,
,怀特海,1,,,
,必须,1,,,
,很强,1,,,
,形成,1,,,
,开放,1,,,
,建设,1,,,
,广泛,1,,,
,崇文,1,,,
,崇尚,1,,,
,少数,1,,,
,尊重群众,1,,,
,宽容,1,,,
,实现,1,,,
,奠定,1,,,
,奋起,1,,,
,失败,1,,,
,大胆,1,,,
,大有可为,1,,,
,多次,1,,,
,基础,1,,,
,坚持,1,,,
,坚实,1,,,
,地理环境,1,,,
,在思想上,1,,,
,喻为,1,,,
,哲学家,1,,,
,品格,1,,,
,和谐,1,,,
,呼唤,1,,,
,向来,1,,,
,合作,1,,,
,厚德,1,,,
,历险,1,,,
,博采众长,1,,,
,千百年来,1,,,
,勤勉,1,,,
,勇于探索,1,,,
,努力,1,,,
,创新型,1,,,
,创下,1,,,
,农耕,1,,,
,冒风险,1,,,
,兼有,1,,,
,兼容并蓄,1,,,
,公平,1,,,
,全民,1,,,
,全国,1,,,
,先人,1,,,
,充满,1,,,
,倡导,1,,,
,作为,1,,,
,传承,1,,,
,价值观念,1,,,
,价值体系,1,,,
,以来,1,,,
,人文,1,,,
,人口,1,,,
,交融,1,,,
,丰富,1,,,
,中国,1,,,
,世界,1,,,
,不确定性,1,,,
,不乏,1,,,
,一步,1,,,
,一条,1,,,
,一个,1,,,
,,,,,
第二，坚持有所为有所不为，努力实现重点突破和跨越发展。自主创新必须立足省情、立足实际，有所为有所不为。全面出击，遍地开花，既不可能，也没必要。我们要按照中央提出的“自主创新、重点跨越、支撑发展、引领未来”的指导方针，准确把握世界科技发展趋势，紧密结合全面建设小康社会的目标，深入分析我省科技进步与自主创新的特色和优势，突出抓好具有基础优势、代表发展方向、有重大带动作用的产业和技术领域，传统优势产业的一些关键与核心技术要取得突破，有苗头的新兴产业要因势利导、形成优势，代表未来发展趋势的产业要超前谋划、准确把握。“十一五”期间，我省科技发展的战略重点：,发展,4,有所为有所不为,有所为有所不为,创新
,自主,3,自主,自主,科技
,创新,3,创新,创新,发展
,优势,3,优势,优势,技术
,重点,2,立足,立足,建设
,跨越,2,跨越,跨越,产业
,立足,2,发展趋势,发展趋势,我们
,突破,2,发展,发展,领域
,科技,2,我省,我省,世界
,未来,2,准确,准确,自主
,有所为有所不为,2,把握,把握,基础
,把握,2,省情,省情,关键
,我省,2,科技,科技,重大
,发展趋势,2,突破,突破,坚持
,准确,2,全面,全面,优势
,全面,2,,,
,代表,2,,,
,产业,2,,,
,领域,1,,,
,重大,1,,,
,遍地开花,1,,,
,超前,1,,,
,谋划,1,,,
,苗头,1,,,
,紧密结合,1,,,
,第二,1,,,
,突出,1,,,
,科技进步,1,,,
,省情,1,,,
,目标,1,,,
,特色,1,,,
,深入分析,1,,,
,核心技术,1,,,
,期间,1,,,
,方向,1,,,
,新兴产业,1,,,
,支撑,1,,,
,提出,1,,,
,按照,1,,,
,指导方针,1,,,
,抓好,1,,,
,技术,1,,,
,战略重点,1,,,
,我们,1,,,
,必须,1,,,
,必要,1,,,
,形成,1,,,
,引领,1,,,
,建设,1,,,
,带动,1,,,
,小康社会,1,,,
,实际,1,,,
,基础,1,,,
,坚持,1,,,
,因势利导,1,,,
,可能,1,,,
,取得,1,,,
,十一五,1,,,
,努力实现,1,,,
,出击,1,,,
,具有,1,,,
,关键,1,,,
,作用,1,,,
,传统,1,,,
,优势产业,1,,,
,中央,1,,,
,世界,1,,,
,一些,1,,,
,,,,,
一是把发展能源、山海资源开发、水资源节约和环境保护技术放在优先位置，集中力量解决制约经济社会发展的重大瓶颈问题。二是加快电子信息、生物医药、新材料、先进装备制造等高技术产业发展，把获取核心技术的自主知识产权，作为提高我省产业竞争力的突破口。三是加快信息技术、生物技术、新材料技术等在传统工业中的应用，全面提升我省传统产业的技术水平，推动块状经济的持续发展。四是加快生物技术、信息技术在农业中的推广应用，大力发展高效生态农业。五是加快人口健康、公共安全等社会发展领域的科技进步，为构建和谐社会提供科技支撑。要围绕这些战略重点，立足支撑经济社会发展的需求，组织实施好高新技术产业、传统制造业、装备制造业、现代农业、环境资源、海洋开发、健康与安全、服务业信息化等“八大科技创新”工程，明确技术基础较好、近期有望突破的优先主题，进一步突出重点，筛选出若干个战略产品或关键共性技术作为重大专项，集中力量，重点攻克，努力实现跨越发展。,发展,7,技术,技术,创新
,技术,6,发展,发展,科技
,加快,4,加快,加快,发展
,产业,3,集中力量,集中力量,技术
,集中力量,2,信息技术,信息技术,经济
,重大,2,产业,产业,推动
,资源,2,经济社会,经济社会,加快
,装备,2,优先,优先,产业
,经济社会,2,我省,我省,领域
,科技,2,制造业,制造业,战略
,生物,2,四是,四是,自主
,材料,2,五是,五是,基础
,支撑,2,装备,装备,社会
,我省,2,健康,健康,关键
,开发,2,生物,生物,农业
,制造业,2,,,
,健康,2,,,
,信息技术,2,,,
,作为,2,,,
,传统,2,,,
,优先,2,,,
,高新技术,1,,,
,高效,1,,,
,高技术,1,,,
,领域,1,,,
,需求,1,,,
,问题,1,,,
,重点,1,,,
,进一步,1,,,
,这些,1,,,
,近期,1,,,
,跨越,1,,,
,解决,1,,,
,获取,1,,,
,若干个,1,,,
,节约,1,,,
,自主,1,,,
,能源,1,,,
,经济,1,,,
,组织,1,,,
,筛选,1,,,
,竞争力,1,,,
,立足,1,,,
,突破口,1,,,
,突破,1,,,
,突出重点,1,,,
,科技进步,1,,,
,社会,1,,,
,知识产权,1,,,
,电子信息,1,,,
,生物医药,1,,,
,生态农业,1,,,
,瓶颈,1,,,
,现代农业,1,,,
,环境保护,1,,,
,环境,1,,,
,海洋,1,,,
,水资源,1,,,
,核心技术,1,,,
,构建,1,,,
,服务业,1,,,
,有望,1,,,
,明确,1,,,
,放在,1,,,
,攻克,1,,,
,提高,1,,,
,提升,1,,,
,提供,1,,,
,推广应用,1,,,
,推动,1,,,
,持续,1,,,
,技术水平,1,,,
,战略重点,1,,,
,战略,1,,,
,应用,1,,,
,工程,1,,,
,工业,1,,,
,山海,1,,,
,实施,1,,,
,安全,1,,,
,大力发展,1,,,
,基础,1,,,
,块状,1,,,
,围绕,1,,,
,四是,1,,,
,和谐社会,1,,,
,努力实现,1,,,
,制造,1,,,
,制约,1,,,
,创新,1,,,
,农业,1,,,
,关键,1,,,
,共性,1,,,
,公共安全,1,,,
,八大,1,,,
,全面,1,,,
,先进,1,,,
,信息化,1,,,
,位置,1,,,
,传统产业,1,,,
,人口,1,,,
,产品,1,,,
,五是,1,,,
,二是,1,,,
,主题,1,,,
,专项,1,,,
,三是,1,,,
,一是,1,,,
,,,,,
第三，坚持以强化企业主体地位为重点，加快推进区域创新体系建设。在市场经济条件下，企业直接面向市场，处在创新的第一线，创新需求敏感，创新冲动强烈，是自主创新的主体力量。国际经验表明，只有充分发挥企业的创新主体作用，加快提升企业的自主创新能力，才能真正提高一个国家或地区的竞争力。我们建设创新型省份，关键是要让企业成为技术创新的决策主体、投入主体、利益主体和风险承担主体，建立以企业为主体、市场为导向、产学研相结合的开放型区域创新体系。要着力破除体制性、机制性障碍，研究制定鼓励企业自主创新的政策，降低企业创新成本，增强企业创新动力，鼓励引导企业成为研发投入、创新活动和技术集成应用的主体。加快区域科技创新服务中心等创新平台建设，使之成为服务中小企业、提升块状经济和特色产业的重要支撑。,创新,13,创新,创新,创新
,企业,10,主体,主体,科技
,主体,8,企业,企业,技术
,自主,3,自主,自主,建设
,成为,3,加快,加快,经济
,建设,3,区域,区域,国家
,区域,3,建设,建设,加快
,加快,3,鼓励,鼓励,我们
,鼓励,2,性障碍,性障碍,企业
,提升,2,主体作用,主体作用,研究
,投入,2,投入,投入,国际
,体系,2,体系,体系,自主
,风险,1,成为,成为,重要
,面向市场,1,提升,提升,体系
,需求,1,体制性,体制性,关键
,集成,1,,,
,降低,1,,,
,重要,1,,,
,重点,1,,,
,表明,1,,,
,经验,1,,,
,经济,1,,,
,第三,1,,,
,第一线,1,,,
,竞争力,1,,,
,科技,1,,,
,破除,1,,,
,研究,1,,,
,研发,1,,,
,着力,1,,,
,真正,1,,,
,省份,1,,,
,相结合,1,,,
,直接,1,,,
,特色产业,1,,,
,活动,1,,,
,条件,1,,,
,机制,1,,,
,服务中心,1,,,
,服务,1,,,
,敏感,1,,,
,政策,1,,,
,支撑,1,,,
,提高,1,,,
,推进,1,,,
,技术创新,1,,,
,技术,1,,,
,承担,1,,,
,才能,1,,,
,我们,1,,,
,成本,1,,,
,性障碍,1,,,
,强烈,1,,,
,强化,1,,,
,引导,1,,,
,开放型,1,,,
,建立,1,,,
,应用,1,,,
,平台,1,,,
,市场经济,1,,,
,市场,1,,,
,导向,1,,,
,处在,1,,,
,增强,1,,,
,坚持,1,,,
,块状,1,,,
,地区,1,,,
,地位,1,,,
,国际,1,,,
,国家,1,,,
,只有,1,,,
,动力,1,,,
,力量,1,,,
,制定,1,,,
,利益,1,,,
,创新能力,1,,,
,创新型,1,,,
,决策,1,,,
,冲动,1,,,
,关键,1,,,
,充分发挥,1,,,
,体制性,1,,,
,产学研,1,,,
,主体作用,1,,,
,中小企业,1,,,
,一个,1,,,
,,,,,
第四，坚持把自主创新与品牌战略结合起来，推动品牌大省建设。对品牌资源的创造、占有和运用，以及知名品牌的多少、品牌经济的发展水平，越来越成为一个国家或地区竞争力和综合实力的显著标志。而提高自主创新能力、拥有自主知识产权是自主品牌建设的核心，离开了自主创新和自主知识产权，品牌就成了无源之水、无本之木。近年来，我省积极实施品牌战略，品牌的数量和整体水平不断提高，品牌企业的竞争力不断增强，品牌经济的效益日趋显现。我们要把推动自主创新和实施品牌战略结合起来，积极推进“品牌大省”建设，以品牌战略带动自主创新，以自主创新支撑品牌战略。要切实抓好商标、质量、标准、管理等品牌基础工作，实行有计划、有重点的品牌培育发展制度，着力提高企业的创牌能力。要依托块状经济优势，积极培育和发展区域品牌，加快块状经济向创新型产业集群的方向发展。要充分发挥品牌集聚要素、整合资源的重要作用，逐步实现由初级简单生产和贴牌生产为主向自主创新、自有品牌为主转变，提高产品的技术含量和附加值，尽快形成一批以自主创新为支撑、以知名品牌为标志、具有较强竞争力的优势企业、企业集团和产业集群，努力创建若干个拥有自主知识产权、具有较强国际竞争力和影响力的知名品牌。要积极实施知识产权和标准化战略，大力推进技术专利化，专利标准化，标准产业化。,品牌,14,品牌,品牌,创新
,自主,12,自主,自主,发展
,创新,7,品牌战略,品牌战略,技术
,品牌战略,5,创新,创新,建设
,经济,4,知识产权,知识产权,经济
,竞争力,4,知名品牌,知名品牌,国家
,积极,4,竞争力,竞争力,推动
,知识产权,4,大省,大省,加快
,提高,4,积极,积极,产业
,发展,4,提高,提高,我们
